checkName,rest24,rest8,medianRest,fastest,totalDogs,averageInDogs,medianInDogs,averageSpeed,medianEnRoute,Distance,lon,lat
Anvik,0,2,9,179,12,13.285714285714286,13,7.181269841269842,209,501,-160.199,62.6522
Elim,0,5,301.5,303,14,10.981481481481481,11,7.094814814814815,405.5,864,-162.2494,64.6162
Finger Lake,0,0,220.5,224,20,15.772727272727273,16,7.483484848484848,305,112,-152.0728,61.9793
Grayling,1,28,460,112,19,13.095238095238095,13,6.770952380952381,163,519,-160.0642,62.9054
Iditarod,4,17,380.5,624,26,13.90625,14,5.078125,939,421,-158.0984,62.5446
Kaltag,0,22,410,1209,26,12.576271186440678,13,4.956271186440678,1476,641,-158.7257,64.3138
Koyuk,0,16,437,367,18,11.314814814814815,11,5.928148148148148,497.5,816,-161.168,64.9286
McGrath,21,0,247,335,20,14.569230769230769,15,6.751230769230769,423,300,-155.5959,62.9532
Nikolai,1,5,342,405,23,14.923076923076923,15,6.017230769230769,808,252,-154.375,63.0133
Ophir,8,0,142.5,131,19,14.203125,14,8.43609375,160.5,341,-156.5299,63.146
Rainy Pass,0,2,280,197,13,15.461538461538462,16,7.323076923076923,232,142,-152.7232,62.0872
Rohn,0,4,271,224,22,15.261538461538462,15,7.933076923076923,251,177,-153.3788,62.3031
Safety,0,0,2,325,11,10.307692307692308,10,8.0175,403.5,965,-164.7519,64.4681
Shageluk,0,31,470,420,16,13.5,14,5.87421875,551.5,476,-159.5323,62.655
Shaktoolik,0,16,380,321,15,11.596491228070175,12,6.306666666666667,379,766,-161.1918,64.3519
Skwentna,0,0,211.5,173,3,15.818181818181818,16,7.403484848484848,211.5,72,-151.1727,61.9651
Takotna,30,0,268,107,8,14.261538461538462,14,7.011846153846154,155,318,-156.0641,62.9886
Unalakleet,0,9,328,601,30,12.12280701754386,12,5.471578947368421,963,726,-160.7863,63.8742
White Mountain,0,54,484,312,19,10.722222222222221,11,6.736666666666666,415.5,910,-163.4067,64.6798
Willow,0,0,0,0,0,15.805970149253731,16,0,0,0,-149.991111,61.769444
Yentna,0,0,6,220,0,15.805970149253731,16,10.12,247,42,-150.6789,61.7322
Nome,NA,NA,NA,NA,0,10.096153846153847,10,7.513653846153846,NA,987,-165.3996,64.4964
