checkName,rest24,rest8,medianRest,fastest,totalDogs,averageInDogs,medianInDogs,averageSpeed,medianEnRoute,Distance,lon,lat
Anvik,0,2,9,179,12,13.2857142857143,13,7.18126984126984,209,501,-160.199,62.6522
Elim,0,5,301.5,303,14,10.9814814814815,11,7.09481481481482,405.5,864,-162.2494,64.6162
Finger Lake,0,0,220.5,224,20,15.7727272727273,16,7.48348484848485,305,112,-152.0728,61.9793
Grayling,1,28,460,112,19,13.0952380952381,13,6.77095238095238,163,519,-160.0642,62.9054
Iditarod,4,17,380.5,624,26,13.90625,14,5.078125,939,421,-158.0984,62.5446
Kaltag,0,22,410,1209,26,12.5762711864407,13,4.95627118644068,1476,641,-158.7257,64.3138
Koyuk,0,16,437,367,18,11.3148148148148,11,5.92814814814815,497.5,816,-161.168,64.9286
McGrath,21,0,247,335,20,14.5692307692308,15,6.75123076923077,423,300,-155.5959,62.9532
Nikolai,1,5,342,405,23,14.9230769230769,15,6.01723076923077,808,252,-154.375,63.0133
Ophir,8,0,142.5,131,19,14.203125,14,8.43609375,160.5,341,-156.5299,63.146
Rainy Pass,0,2,280,197,13,15.4615384615385,16,7.32307692307692,232,142,-152.7232,62.0872
Rohn,0,4,271,224,22,15.2615384615385,15,7.93307692307692,251,177,-153.3788,62.3031
Safety,0,0,2,325,11,10.3076923076923,10,8.0175,403.5,965,-164.7519,64.4681
Shageluk,0,31,470,420,16,13.5,14,5.87421875,551.5,476,-159.5323,62.655
Shaktoolik,0,16,380,321,15,11.5964912280702,12,6.30666666666667,379,766,-161.1918,64.3519
Skwentna,0,0,211.5,173,3,15.8181818181818,16,7.40348484848485,211.5,72,-151.1727,61.9651
Takotna,30,0,268,107,8,14.2615384615385,14,7.01184615384615,155,318,-156.0641,62.9886
Unalakleet,0,9,328,601,30,12.1228070175439,12,5.47157894736842,963,726,-160.7863,63.8742
White Mountain,0,54,484,312,19,10.7222222222222,11,6.73666666666667,415.5,910,-163.4067,64.6798
Willow,0,0,0,0,0,15.8059701492537,16,0,0,0,-149.991111,61.769444
Yentna,0,0,6,220,0,15.8059701492537,16,10.12,247,42,-150.6789,61.7322
Willow,0,0,0,0,0,16,16,0,0,0,-150.05975,61.744646
