musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkName,inTime,outTime,prevTime,enrouteTime,restTime,dropDogs,rest24,cpOrder,finalOrder
Cody Strathe,2,3/4 17:52:00,16,3/4 17:54:00,16,0h 2m,3h 52m,3/4 14:00:00,10.86,Yentna,2018-03-04T17:52:00Z,2018-03-04T17:54:00Z,2018-03-04T14:00:00Z,232,2,0,0,2,29
Linwood Fiedler,8,3/4 18:01:00,16,3/4 18:05:00,16,0h 4m,3h 49m,3/4 14:12:00,11,Yentna,2018-03-04T18:01:00Z,2018-03-04T18:05:00Z,2018-03-04T14:12:00Z,229,4,0,0,3,10
Anna Berington,4,3/4 18:02:00,16,3/4 18:08:00,16,0h 6m,3h 58m,3/4 14:04:00,10.59,Yentna,2018-03-04T18:02:00Z,2018-03-04T18:08:00Z,2018-03-04T14:04:00Z,238,6,0,0,4,22
Mats Pettersson,3,3/4 18:05:00,16,3/4 18:12:00,16,0h 7m,4h 3m,3/4 14:02:00,10.37,Yentna,2018-03-04T18:05:00Z,2018-03-04T18:12:00Z,2018-03-04T14:02:00Z,243,7,0,0,5,18
Rick Casillo,9,3/4 18:20:00,16,3/4 18:26:00,16,0h 6m,4h 6m,3/4 14:14:00,10.24,Yentna,2018-03-04T18:20:00Z,2018-03-04T18:26:00Z,2018-03-04T14:14:00Z,246,6,0,0,7,27
Ray Redington Jr,17,3/4 18:24:00,16,3/4 18:29:00,16,0h 5m,3h 54m,3/4 14:30:00,10.77,Yentna,2018-03-04T18:24:00Z,2018-03-04T18:29:00Z,2018-03-04T14:30:00Z,234,5,0,0,9,4
Mitch Seavey,13,3/4 18:26:00,16,3/4 18:30:00,16,0h 4m,4h 4m,3/4 14:22:00,10.33,Yentna,2018-03-04T18:26:00Z,2018-03-04T18:30:00Z,2018-03-04T14:22:00Z,244,4,0,0,11,3
Andy Pohl,12,3/4 18:25:00,16,3/4 18:31:00,16,0h 6m,4h 7m,3/4 14:18:00,10.2,Yentna,2018-03-04T18:25:00Z,2018-03-04T18:31:00Z,2018-03-04T14:18:00Z,247,6,0,0,10,37
Shaynee Traska,5,3/4 18:26:00,16,3/4 18:35:00,16,0h 9m,4h 20m,3/4 14:06:00,9.69,Yentna,2018-03-04T18:26:00Z,2018-03-04T18:35:00Z,2018-03-04T14:06:00Z,260,9,0,0,12,48
Michelle Phillips,18,3/4 18:36:00,16,3/4 18:39:00,16,0h 3m,4h 4m,3/4 14:32:00,10.33,Yentna,2018-03-04T18:36:00Z,2018-03-04T18:39:00Z,2018-03-04T14:32:00Z,244,3,0,0,14,19
Larry Daugherty,14,3/4 18:34:00,15,3/4 18:40:00,15,0h 6m,4h 10m,3/4 14:24:00,10.08,Yentna,2018-03-04T18:34:00Z,2018-03-04T18:40:00Z,2018-03-04T14:24:00Z,250,6,0,0,13,40
Kristy Berington,20,3/4 18:36:00,16,3/4 18:42:00,16,0h 6m,4h 0m,3/4 14:36:00,10.5,Yentna,2018-03-04T18:36:00Z,2018-03-04T18:42:00Z,2018-03-04T14:36:00Z,240,6,0,0,15,36
Matt Hall,15,3/4 18:47:00,16,3/4 18:50:00,16,0h 3m,4h 21m,3/4 14:26:00,9.66,Yentna,2018-03-04T18:47:00Z,2018-03-04T18:50:00Z,2018-03-04T14:26:00Z,261,3,0,0,18,11
Aliy Zirkle,31,3/4 18:50:00,16,3/4 18:51:00,16,0h 1m,3h 52m,3/4 14:58:00,10.86,Yentna,2018-03-04T18:50:00Z,2018-03-04T18:51:00Z,2018-03-04T14:58:00Z,232,1,0,0,22,15
Richie Diehl,29,3/4 18:48:00,16,3/4 18:52:00,16,0h 4m,3h 54m,3/4 14:54:00,10.77,Yentna,2018-03-04T18:48:00Z,2018-03-04T18:52:00Z,2018-03-04T14:54:00Z,234,4,0,0,19,6
Peter Kaiser,30,3/4 18:49:00,16,3/4 18:52:00,16,0h 3m,3h 53m,3/4 14:56:00,10.82,Yentna,2018-03-04T18:49:00Z,2018-03-04T18:52:00Z,2018-03-04T14:56:00Z,233,3,0,0,20,5
Scott Janssen,23,3/4 18:51:00,16,3/4 18:54:00,16,0h 3m,4h 9m,3/4 14:42:00,10.12,Yentna,2018-03-04T18:51:00Z,2018-03-04T18:54:00Z,2018-03-04T14:42:00Z,249,3,0,0,23,NA
"Michael Williams, Jr.",27,3/4 18:55:00,16,3/4 18:59:00,16,0h 4m,4h 5m,3/4 14:50:00,10.29,Yentna,2018-03-04T18:55:00Z,2018-03-04T18:59:00Z,2018-03-04T14:50:00Z,245,4,0,0,25,25
Rob Cooke,10,3/4 18:57:00,16,3/4 19:00:00,16,0h 3m,4h 41m,3/4 14:16:00,8.97,Yentna,2018-03-04T18:57:00Z,2018-03-04T19:00:00Z,2018-03-04T14:16:00Z,281,3,0,0,26,NA
Ramey Smyth,21,3/4 18:59:00,16,3/4 19:01:00,16,0h 2m,4h 21m,3/4 14:38:00,9.66,Yentna,2018-03-04T18:59:00Z,2018-03-04T19:01:00Z,2018-03-04T14:38:00Z,261,2,0,0,27,8
Joar Leifseth Ulsom,33,3/4 19:01:00,16,3/4 19:05:00,16,0h 4m,3h 59m,3/4 15:02:00,10.54,Yentna,2018-03-04T19:01:00Z,2018-03-04T19:05:00Z,2018-03-04T15:02:00Z,239,4,0,0,29,1
Ryan Redington,7,3/4 17:50:00,16,3/4 19:06:00,16,1h 16m,3h 40m,3/4 14:10:00,11.45,Yentna,2018-03-04T17:50:00Z,2018-03-04T19:06:00Z,2018-03-04T14:10:00Z,220,76,0,0,1,NA
