musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,prevOut,checkName
Cody Strathe,2,3/4 17:52:00,16,3/4 17:54:00,16,0h 2m,3h 52m,3/4 14:00:00,10.86,Yentna
Linwood Fiedler,8,3/4 18:01:00,16,3/4 18:05:00,16,0h 4m,3h 49m,3/4 14:12:00,11.00,Yentna
Anna Berington,4,3/4 18:02:00,16,3/4 18:08:00,16,0h 6m,3h 58m,3/4 14:04:00,10.59,Yentna
Mats Pettersson,3,3/4 18:05:00,16,3/4 18:12:00,16,0h 7m,4h 3m,3/4 14:02:00,10.37,Yentna
Rick Casillo,9,3/4 18:20:00,16,3/4 18:26:00,16,0h 6m,4h 6m,3/4 14:14:00,10.24,Yentna
Ray Redington Jr,17,3/4 18:24:00,16,3/4 18:29:00,16,0h 5m,3h 54m,3/4 14:30:00,10.77,Yentna
Mitch Seavey,13,3/4 18:26:00,16,3/4 18:30:00,16,0h 4m,4h 4m,3/4 14:22:00,10.33,Yentna
Andy Pohl,12,3/4 18:25:00,16,3/4 18:31:00,16,0h 6m,4h 7m,3/4 14:18:00,10.20,Yentna
Shaynee Traska,5,3/4 18:26:00,16,3/4 18:35:00,16,0h 9m,4h 20m,3/4 14:06:00,9.69,Yentna
Michelle Phillips,18,3/4 18:36:00,16,3/4 18:39:00,16,0h 3m,4h 4m,3/4 14:32:00,10.33,Yentna
Larry Daugherty,14,3/4 18:34:00,15,3/4 18:40:00,15,0h 6m,4h 10m,3/4 14:24:00,10.08,Yentna
Kristy Berington,20,3/4 18:36:00,16,3/4 18:42:00,16,0h 6m,4h 0m,3/4 14:36:00,10.50,Yentna
Matt Hall,15,3/4 18:47:00,16,3/4 18:50:00,16,0h 3m,4h 21m,3/4 14:26:00,9.66,Yentna
Aliy Zirkle,31,3/4 18:50:00,16,3/4 18:51:00,16,0h 1m,3h 52m,3/4 14:58:00,10.86,Yentna
Richie Diehl,29,3/4 18:48:00,16,3/4 18:52:00,16,0h 4m,3h 54m,3/4 14:54:00,10.77,Yentna
Peter Kaiser,30,3/4 18:49:00,16,3/4 18:52:00,16,0h 3m,3h 53m,3/4 14:56:00,10.82,Yentna
Scott Janssen,23,3/4 18:51:00,16,3/4 18:54:00,16,0h 3m,4h 9m,3/4 14:42:00,10.12,Yentna
"Michael Williams, Jr.",27,3/4 18:55:00,16,3/4 18:59:00,16,0h 4m,4h 5m,3/4 14:50:00,10.29,Yentna
Rob Cooke,10,3/4 18:57:00,16,3/4 19:00:00,16,0h 3m,4h 41m,3/4 14:16:00,8.97,Yentna
