musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,prevOut,checkName
Jessie Holmes,41,3/5 12:12:00,16,3/5 12:28:00,16,0h 16m,3h 39m,3/5 08:33:00,8.22,Rainy Pass
Richie Diehl,29,3/5 13:22:00,16,3/5 13:28:00,16,0h 6m,3h 30m,3/5 09:52:00,8.57,Rainy Pass
Wade Marrs,11,3/5 12:04:00,15,3/5 14:51:00,15,2h 47m,3h 30m,3/5 08:34:00,8.57,Rainy Pass
Ryan Redington,7,3/5 11:51:00,16,3/5 14:54:00,14,3h 3m,3h 27m,3/5 08:24:00,8.70,Rainy Pass
Nicolas Petit,46,3/5 10:55:00,16,3/5 15:10:00,16,4h 15m,3h 17m,3/5 07:38:00,9.14,Rainy Pass
Ray Redington Jr,17,3/5 10:16:00,16,3/5 15:18:00,16,5h 2m,3h 39m,3/5 06:37:00,8.22,Rainy Pass
Mitch Seavey,13,3/5 10:19:00,15,3/5 15:18:00,14,4h 59m,3h 21m,3/5 06:58:00,8.96,Rainy Pass
Joar Leifseth Ulsom,33,3/5 12:34:00,16,3/5 15:35:00,16,3h 1m,3h 31m,3/5 09:03:00,8.53,Rainy Pass
Jessie Royer,36,3/5 15:46:00,16,3/5 15:51:00,15,0h 5m,8h 33m,3/5 07:13:00,3.51,Rainy Pass
Aliy Zirkle,31,3/5 15:47:00,16,3/5 15:53:00,16,0h 6m,8h 49m,3/5 06:58:00,3.40,Rainy Pass
Linwood Fiedler,8,3/5 11:32:00,16,3/5 16:10:00,15,4h 38m,3h 29m,3/5 08:03:00,8.61,Rainy Pass
Peter Kaiser,30,3/5 12:15:00,16,3/5 16:12:00,15,3h 57m,3h 35m,3/5 08:40:00,8.37,Rainy Pass
Aaron Burmeister,64,3/5 13:43:00,16,3/5 16:23:00,16,2h 40m,3h 39m,3/5 10:04:00,8.22,Rainy Pass
Larry Daugherty,14,3/5 16:36:00,15,3/5 16:43:00,15,0h 7m,4h 8m,3/5 12:28:00,7.26,Rainy Pass
Hugh Neff,68,3/5 12:08:00,15,3/5 16:50:00,15,4h 42m,3h 52m,3/5 08:16:00,7.76,Rainy Pass
Mats Pettersson,3,3/5 12:55:00,16,3/5 16:55:00,16,4h 0m,3h 36m,3/5 09:19:00,8.33,Rainy Pass
Robert Redington,34,3/5 12:58:00,16,3/5 17:09:00,16,4h 11m,3h 38m,3/5 09:20:00,8.26,Rainy Pass
