musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,NA,NA,checkName
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Joar Leifseth Ulsom,33,3/13 07:52:00,12,3/13 15:52:00,10,8h 0m,6h 48m,3/13 01:04:00,6.76,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Nicolas Petit,46,3/13 11:22:00,11,3/13 19:34:00,10,8h 12m,7h 17m,3/13 04:05:00,6.32,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Mitch Seavey,13,3/13 13:24:00,9,3/13 22:00:00,9,8h 36m,7h 30m,3/13 05:54:00,6.13,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Ray Redington Jr,17,3/13 17:48:00,11,3/14 01:48:00,11,8h 0m,7h 18m,3/13 10:30:00,6.30,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Peter Kaiser,30,3/13 18:35:00,8,3/14 02:38:00,8,8h 3m,7h 42m,3/13 10:53:00,5.97,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Richie Diehl,29,3/13 20:49:00,11,3/14 04:49:00,11,8h 0m,6h 58m,3/13 13:51:00,6.60,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Travis Beals,60,3/13 21:33:00,10,3/14 05:33:00,10,8h 0m,7h 29m,3/13 14:04:00,6.15,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Jessie Holmes,41,3/13 21:41:00,11,3/14 05:41:00,10,8h 0m,6h 38m,3/13 15:03:00,6.93,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Ramey Smyth,21,3/13 21:50:00,10,3/14 05:51:00,9,8h 1m,7h 36m,3/13 14:14:00,6.05,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Linwood Fiedler,8,3/13 22:13:00,11,3/14 06:17:00,10,8h 4m,8h 0m,3/13 14:13:00,5.75,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Matt Hall,15,3/14 00:09:00,11,3/14 08:09:00,9,8h 0m,7h 48m,3/13 16:21:00,5.90,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Aaron Burmeister,64,3/14 00:23:00,11,3/14 08:23:00,11,8h 0m,8h 43m,3/13 15:40:00,5.28,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Matthew Failor,55,3/14 03:28:00,12,3/14 11:28:00,12,8h 0m,6h 56m,3/13 20:32:00,6.63,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Ketil Reitan,54,3/14 03:38:00,10,3/14 11:38:00,9,8h 0m,7h 13m,3/13 20:25:00,6.37,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Aliy Zirkle,31,3/14 03:59:00,10,3/14 11:59:00,10,8h 0m,7h 33m,3/13 20:26:00,6.09,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Kelly Maixner,52,3/14 04:08:00,11,3/14 12:08:00,10,8h 0m,8h 3m,3/13 20:05:00,5.71,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Jessie Royer,36,3/14 04:14:00,12,3/14 12:14:00,11,8h 0m,7h 53m,3/13 20:21:00,5.84,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Mats Pettersson,3,3/14 09:08:00,11,3/14 17:08:00,11,8h 0m,7h 8m,3/14 02:00:00,6.45,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Michelle Phillips,18,3/14 09:10:00,12,3/14 17:10:00,12,8h 0m,7h 9m,3/14 02:01:00,6.43,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Lars Monsen,61,3/14 09:09:00,10,3/14 17:15:00,9,8h 6m,7h 9m,3/14 02:00:00,6.43,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Hugh Neff,68,3/14 11:09:00,9,3/14 19:11:00,9,8h 2m,9h 6m,3/14 02:03:00,5.05,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Anna Berington,4,3/14 19:26:00,10,3/15 03:26:00,10,8h 0m,6h 17m,3/14 13:09:00,7.32,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Michi Konno,63,3/14 20:37:00,9,3/15 04:39:00,9,8h 2m,7h 13m,3/14 13:24:00,6.37,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Jeff King,40,3/14 22:14:00,12,3/15 07:49:00,12,9h 35m,5h 57m,3/14 16:17:00,7.73,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map","Michael Williams, Jr.",27,3/15 01:10:00,9,3/15 09:11:00,9,8h 1m,6h 49m,3/14 18:21:00,6.75,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Katherine Keith,51,3/15 01:25:00,8,3/15 09:34:00,8,8h 9m,8h 10m,3/14 17:15:00,5.63,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Rick Casillo,9,3/15 04:02:00,10,3/15 12:11:00,10,8h 9m,6h 51m,3/14 21:11:00,6.72,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Martin Buser,28,3/15 04:27:00,12,3/15 13:22:00,12,8h 55m,6h 55m,3/14 21:32:00,6.65,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Cody Strathe,2,3/15 05:08:00,10,3/15 15:16:00,9,10h 8m,6h 32m,3/14 22:36:00,7.04,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Andrew Nolan,56,3/15 07:44:00,12,3/15 16:02:00,11,8h 18m,6h 30m,3/15 01:14:00,7.08,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Noah Pereira,49,3/15 09:00:00,10,3/15 17:00:00,10,8h 0m,6h 38m,3/15 02:22:00,6.93,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Tom Knolmayer,43,3/15 07:52:00,11,3/15 17:48:00,10,9h 56m,6h 51m,3/15 01:01:00,6.72,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Charley Bejna,38,3/15 09:49:00,11,3/15 18:13:00,11,8h 24m,7h 35m,3/15 02:14:00,6.07,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Emily Maxwell,58,3/15 11:42:00,9,3/15 19:45:00,9,8h 3m,6h 44m,3/15 04:58:00,6.83,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Aaron Peck,50,3/15 12:00:00,10,3/15 20:32:00,10,8h 32m,6h 31m,3/15 05:29:00,7.06,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Kristy Berington,20,3/15 13:30:00,11,3/15 21:42:00,10,8h 12m,6h 7m,3/15 07:23:00,7.52,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Andy Pohl,12,3/15 13:44:00,11,3/15 21:44:00,10,8h 0m,6h 21m,3/15 07:23:00,7.24,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Jim Lanier,32,3/15 14:58:00,13,3/15 23:17:00,13,8h 19m,7h 22m,3/15 07:36:00,6.24,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Larry Daugherty,14,3/15 14:53:00,12,3/15 23:20:00,12,8h 27m,7h 1m,3/15 07:52:00,6.56,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Scott Janssen,23,3/15 17:30:00,11,3/16 01:37:00,11,8h 7m,5h 12m,3/15 12:18:00,8.85,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Monica Zappa,48,3/15 17:45:00,12,3/16 01:49:00,12,8h 4m,5h 47m,3/15 11:58:00,7.95,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Brett Bruggeman,37,3/15 17:46:00,14,3/16 01:52:00,14,8h 6m,5h 40m,3/15 12:06:00,8.12,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Lev Shvarts,22,3/15 18:32:00,11,3/16 03:16:00,10,8h 44m,6h 12m,3/15 12:20:00,7.42,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Misha Wiljes,19,3/15 23:02:00,12,3/16 07:03:00,12,8h 1m,7h 0m,3/15 16:02:00,6.57,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Bradley Farquhar,65,3/16 01:31:00,10,3/16 09:42:00,10,8h 11m,6h 4m,3/15 19:27:00,7.58,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Peter Fleck,67,3/16 01:30:00,11,3/16 09:51:00,11,8h 21m,5h 58m,3/15 19:32:00,7.71,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Jeff Deeter,45,3/16 01:39:00,8,3/16 09:59:00,8,8h 20m,6h 16m,3/15 19:23:00,7.34,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Dave Delcourt,57,3/16 06:22:00,10,3/16 14:24:00,10,8h 2m,6h 41m,3/15 23:41:00,6.88,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Tim Muto,42,3/16 07:20:00,12,3/16 15:22:00,12,8h 2m,5h 18m,3/16 02:02:00,8.68,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Shaynee Traska,5,3/16 11:31:00,7,3/16 19:45:00,7,8h 14m,7h 10m,3/16 04:21:00,6.42,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Meredith Mapes,16,3/16 16:04:00,10,3/17 00:09:00,10,8h 5m,5h 55m,3/16 10:09:00,7.77,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Anja Radano,24,3/16 16:13:00,13,3/17 00:31:00,12,8h 18m,7h 3m,3/16 09:10:00,6.52,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Magnus Kaltenborn,6,3/16 17:12:00,13,3/17 01:27:00,13,8h 15m,6h 34m,3/16 10:38:00,7.01,White Mountain
NA,"Satellite View
															Location: 64.6798, -163.4067
										Click here to view map",Jason Stewart,66,3/16 16:57:00,12,3/17 01:39:00,12,8h 42m,6h 15m,3/16 10:42:00,7.36,White Mountain
