musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkName
Nicolas Petit,46,3/8 14:28:00,14,3/8 19:02:00,14,4h 34m,12h 15m,3/8 02:13:00,6.53,Iditarod
Mitch Seavey,13,3/8 15:17:00,13,3/8 19:46:00,13,4h 29m,13h 5m,3/8 02:12:00,6.11,Iditarod
Joar Leifseth Ulsom,33,3/7 20:28:00,16,3/8 21:38:00,15,25h 10m,15h 36m,3/7 04:52:00,5.13,Iditarod
Richie Diehl,29,3/8 19:32:00,14,3/8 23:42:00,13,4h 10m,13h 26m,3/8 06:06:00,5.96,Iditarod
Jessie Royer,36,3/8 19:28:00,14,3/8 23:45:00,14,4h 17m,14h 23m,3/8 05:05:00,5.56,Iditarod
Ray Redington Jr,17,3/8 19:00:00,15,3/8 23:50:00,15,4h 50m,14h 10m,3/8 04:50:00,5.65,Iditarod
Peter Kaiser,30,3/8 19:52:00,14,3/8 23:50:00,12,3h 58m,13h 47m,3/8 06:05:00,5.80,Iditarod
Aaron Burmeister,64,3/8 19:49:00,15,3/9 00:04:00,13,4h 15m,15h 57m,3/8 03:52:00,5.02,Iditarod
Wade Marrs,11,3/8 19:59:00,14,3/9 00:07:00,12,4h 8m,13h 18m,3/8 06:41:00,6.02,Iditarod
Linwood Fiedler,8,3/8 18:59:00,15,3/9 00:09:00,14,5h 10m,12h 57m,3/8 06:02:00,6.18,Iditarod
Aliy Zirkle,31,3/8 20:13:00,15,3/9 00:21:00,14,4h 8m,14h 26m,3/8 05:47:00,5.54,Iditarod
Hugh Neff,68,3/8 20:08:00,13,3/9 00:34:00,13,4h 26m,10h 24m,3/8 09:44:00,7.69,Iditarod
Travis Beals,60,3/8 21:23:00,14,3/9 01:31:00,14,4h 8m,13h 3m,3/8 08:20:00,6.13,Iditarod
Kelly Maixner,52,3/8 21:00:00,16,3/9 01:36:00,15,4h 36m,14h 3m,3/8 06:57:00,5.69,Iditarod
Michelle Phillips,18,3/8 21:52:00,14,3/9 02:03:00,14,4h 11m,14h 14m,3/8 07:38:00,5.62,Iditarod
Mats Pettersson,3,3/8 20:31:00,15,3/9 02:15:00,14,5h 44m,12h 56m,3/8 07:35:00,6.19,Iditarod
Matt Hall,15,3/8 22:07:00,14,3/9 02:44:00,14,4h 37m,13h 59m,3/8 08:08:00,5.72,Iditarod
Matthew Failor,55,3/8 22:14:00,16,3/9 03:03:00,16,4h 49m,13h 46m,3/8 08:28:00,5.81,Iditarod
Ramey Smyth,21,3/8 23:06:00,16,3/9 03:12:00,14,4h 6m,14h 12m,3/8 08:54:00,5.63,Iditarod
Martin Buser,28,3/9 03:44:00,16,3/9 03:49:00,15,0h 5m,14h 52m,3/8 12:52:00,5.38,Iditarod
Rick Casillo,9,3/8 23:30:00,13,3/9 03:53:00,13,4h 23m,15h 13m,3/8 08:17:00,5.26,Iditarod
Ketil Reitan,54,3/8 22:28:00,13,3/9 04:05:00,13,5h 37m,11h 29m,3/8 10:59:00,6.97,Iditarod
Robert Redington,34,3/8 23:10:00,12,3/9 04:10:00,12,5h 0m,14h 13m,3/8 08:57:00,5.63,Iditarod
Michi Konno,63,3/8 22:48:00,14,3/9 04:14:00,13,5h 26m,14h 44m,3/8 08:04:00,5.43,Iditarod
Ryan Redington,7,3/8 23:55:00,11,3/9 04:40:00,11,4h 45m,14h 50m,3/8 09:05:00,5.39,Iditarod
Lars Monsen,61,3/8 05:16:00,15,3/9 05:30:00,15,24h 14m,15h 11m,3/7 14:05:00,5.27,Iditarod
Cody Strathe,2,3/8 23:42:00,14,3/9 05:38:00,14,5h 56m,13h 58m,3/8 09:44:00,5.73,Iditarod
Jessie Holmes,41,3/9 02:24:00,15,3/9 07:04:00,15,4h 40m,12h 53m,3/8 13:31:00,6.21,Iditarod
Katherine Keith,51,3/9 05:40:00,14,3/9 09:44:00,14,4h 4m,16h 38m,3/8 13:02:00,4.81,Iditarod
Tom Knolmayer,43,3/9 04:42:00,13,3/9 10:01:00,13,5h 19m,14h 59m,3/8 13:43:00,5.34,Iditarod
Anna Berington,4,3/9 06:14:00,12,3/9 11:11:00,12,4h 57m,13h 59m,3/8 16:15:00,5.72,Iditarod
"Michael Williams, Jr.",27,3/9 06:21:00,13,3/9 13:51:00,13,7h 30m,13h 40m,3/8 16:41:00,5.85,Iditarod
Charley Bejna,38,3/9 06:26:00,14,3/9 14:02:00,14,7h 36m,15h 38m,3/8 14:48:00,5.12,Iditarod
Jeff King,40,3/8 16:08:00,14,3/9 17:04:00,13,24h 56m,21h 27m,3/7 18:41:00,3.73,Iditarod
Larry Daugherty,14,3/8 17:34:00,15,3/9 19:24:00,15,25h 50m,23h 37m,3/7 17:57:00,3.39,Iditarod
Noah Pereira,49,3/9 15:07:00,14,3/9 21:15:00,12,6h 8m,18h 7m,3/8 21:00:00,4.42,Iditarod
Kristy Berington,20,3/9 15:03:00,13,3/9 21:24:00,13,6h 21m,18h 18m,3/8 20:45:00,4.37,Iditarod
Andy Pohl,12,3/9 15:05:00,12,3/9 21:25:00,12,6h 20m,18h 20m,3/8 20:45:00,4.36,Iditarod
Bradley Farquhar,65,3/9 15:32:00,11,3/9 21:59:00,11,6h 27m,21h 0m,3/8 18:32:00,3.81,Iditarod
Emily Maxwell,58,3/9 15:32:00,13,3/9 22:10:00,13,6h 38m,21h 26m,3/8 18:06:00,3.73,Iditarod
Aaron Peck,50,3/9 15:08:00,14,3/9 22:37:00,14,7h 29m,17h 3m,3/8 22:05:00,4.69,Iditarod
Jim Lanier,32,3/9 15:15:00,15,3/9 23:10:00,15,7h 55m,21h 51m,3/8 17:24:00,3.66,Iditarod
Scott Janssen,23,3/9 15:29:00,14,3/10 01:38:00,14,10h 9m,21h 13m,3/8 18:16:00,3.77,Iditarod
Monica Zappa,48,3/9 15:50:00,15,3/10 02:39:00,14,10h 49m,14h 34m,3/9 01:16:00,5.49,Iditarod
Allen Moore,26,3/9 18:46:00,13,3/10 03:02:00,13,8h 16m,18h 53m,3/8 23:53:00,4.24,Iditarod
Jeff Deeter,45,3/9 16:46:00,11,3/10 03:03:00,10,10h 17m,17h 8m,3/8 23:38:00,4.67,Iditarod
Brett Bruggeman,37,3/9 18:46:00,15,3/10 03:09:00,15,8h 23m,18h 29m,3/9 00:17:00,4.33,Iditarod
Dave Delcourt,57,3/9 21:00:00,14,3/10 05:00:00,14,8h 0m,16h 3m,3/9 04:57:00,4.98,Iditarod
Andrew Nolan,56,3/9 22:36:00,12,3/10 06:43:00,12,8h 7m,19h 31m,3/9 03:05:00,4.10,Iditarod
Alan Eischens,53,3/9 19:14:00,14,3/10 06:54:00,14,11h 40m,18h 41m,3/9 00:33:00,4.28,Iditarod
Shaynee Traska,5,3/9 22:45:00,15,3/10 06:56:00,15,8h 11m,18h 27m,3/9 04:18:00,4.34,Iditarod
Lev Shvarts,22,3/9 22:25:00,15,3/10 07:52:00,14,9h 27m,17h 54m,3/9 04:31:00,4.47,Iditarod
Meredith Mapes,16,3/10 01:46:00,13,3/10 08:55:00,12,7h 9m,17h 25m,3/9 08:21:00,4.59,Iditarod
Rob Cooke,10,3/10 03:20:00,16,3/10 09:27:00,14,6h 7m,18h 28m,3/9 08:52:00,4.33,Iditarod
Peter Fleck,67,3/10 01:38:00,15,3/10 09:52:00,14,8h 14m,16h 58m,3/9 08:40:00,4.72,Iditarod
Misha Wiljes,19,3/10 04:04:00,14,3/10 10:54:00,14,6h 50m,16h 59m,3/9 11:05:00,4.71,Iditarod
Jason Stewart,66,3/10 02:58:00,15,3/10 11:14:00,15,8h 16m,16h 17m,3/9 10:41:00,4.91,Iditarod
Magnus Kaltenborn,6,3/10 03:59:00,16,3/10 11:38:00,16,7h 39m,18h 19m,3/9 09:40:00,4.37,Iditarod
Anja Radano,24,3/10 03:46:00,13,3/10 11:57:00,13,8h 11m,16h 54m,3/9 10:52:00,4.73,Iditarod
Tim Muto,42,3/10 04:29:00,13,3/10 12:37:00,13,8h 8m,15h 40m,3/9 12:49:00,5.11,Iditarod
Marcelle Fressineau,35,3/10 06:44:00,13,3/10 14:13:00,13,7h 29m,16h 34m,3/9 14:10:00,4.83,Iditarod
Tara Cicatello,44,3/10 17:23:00,13,3/11 03:07:00 *,13,8h 44m,20h 11m,3/9 21:12:00,3.96,Iditarod
Steve Watkins,59,3/10 17:30:00,13,3/11 04:30:00 *,13,10h 0m,20h 5m,3/9 21:25:00,3.98,Iditarod
Tom Schonberger,25,3/10 20:21:00,11,3/11 05:31:00 *,11,8h 10m,20h 51m,3/9 23:30:00,3.84,Iditarod
