musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,NA,checkName
Nicolas Petit,46,3/10 19:45:00,14,3/11 01:43:00,13,5h 58m,26h 57m,3/9 16:48:00,4.53,,Kaltag
Joar Leifseth Ulsom,33,3/10 21:56:00,13,3/11 03:13:00 *,13,4h 17m,23h 58m,3/9 21:58:00,5.09,,Kaltag
Mitch Seavey,13,3/10 21:38:00,12,3/11 03:15:00 *,11,4h 37m,23h 53m,3/9 21:45:00,5.11,,Kaltag
Richie Diehl,29,3/11 01:10:00,13,3/11 07:29:00 *,12,5h 19m,20h 51m,3/10 04:19:00,5.85,,Kaltag
Peter Kaiser,30,3/11 01:13:00,12,3/11 07:30:00 *,11,5h 17m,20h 54m,3/10 04:19:00,5.84,,Kaltag
Ray Redington Jr,17,3/11 01:14:00,14,3/11 07:30:00 *,13,5h 16m,21h 9m,3/10 04:05:00,5.77,,Kaltag
Wade Marrs,11,3/11 03:05:00 *,,3/11 07:47:00,11,4h 42m,20h 28m,3/10 05:37:00,5.96,,Kaltag
Matthew Failor,55,3/11 07:40:00 *,,3/11 07:54:00,15,0h 14m,23h 33m,3/10 07:07:00,5.18,,Kaltag
Travis Beals,60,3/11 03:02:00 *,,3/11 07:55:00,13,4h 53m,20h 42m,3/10 05:20:00,5.89,,Kaltag
Matt Hall,15,3/11 09:21:00 *,14,3/11 09:30:00,14,0h 9m,25h 31m,3/10 06:50:00,4.78,,Kaltag
Aaron Burmeister,64,3/11 03:39:00 *,12,3/11 09:58:00,11,6h 19m,22h 4m,3/10 04:35:00,5.53,,Kaltag
Linwood Fiedler,8,3/11 04:53:00 *,13,3/11 10:31:00,13,5h 38m,20h 19m,3/10 07:34:00,6.00,,Kaltag
Aliy Zirkle,31,3/11 05:12:00 *,13,3/11 10:32:00,13,5h 20m,22h 33m,3/10 05:39:00,5.41,,Kaltag
Kelly Maixner,52,3/11 10:26:00 *,,3/11 10:35:00,12,0h 9m,24h 51m,3/10 08:35:00,4.91,,Kaltag
Mats Pettersson,3,3/11 06:00:00 *,,3/11 10:40:00,12,4h 40m,21h 3m,3/10 07:57:00,5.80,,Kaltag
Ramey Smyth,21,3/11 04:18:00 *,14,3/11 10:50:00,13,6h 32m,20h 34m,3/10 06:44:00,5.93,,Kaltag
Ketil Reitan,54,3/11 05:29:00 *,12,3/11 11:59:00,11,6h 30m,20h 32m,3/10 07:57:00,5.94,,Kaltag
Hugh Neff,68,3/11 06:04:00 *,,3/11 12:48:00,11,6h 44m,22h 4m,3/10 07:00:00,5.53,,Kaltag
Jessie Royer,36,3/11 06:29:00 *,13,3/11 14:30:00,12,8h 1m,23h 51m,3/10 05:38:00,5.12,,Kaltag
Michelle Phillips,18,3/11 09:35:00 *,13,3/11 14:35:00,13,5h 0m,23h 27m,3/10 09:08:00,5.20,,Kaltag
Michi Konno,63,3/11 11:23:00 *,,3/11 16:55:00,10,5h 32m,24h 29m,3/10 09:54:00,4.98,,Kaltag
Jessie Holmes,41,3/11 13:02:00 *,13,3/11 17:39:00,13,4h 37m,20h 10m,3/10 15:52:00,6.05,,Kaltag
Lars Monsen,61,3/11 09:55:00 *,14,3/11 18:22:00,12,8h 27m,24h 18m,3/10 08:37:00,5.02,,Kaltag
Martin Buser,28,3/11 14:08:00 *,,3/11 20:09:00,13,6h 1m,28h 29m,3/10 08:39:00,4.28,,Kaltag
Anna Berington,4,3/11 14:10:00 *,11,3/11 21:00:00,11,6h 50m,21h 42m,3/10 15:28:00,5.62,,Kaltag
Katherine Keith,51,3/11 15:22:00 *,13,3/11 21:08:00,10,5h 46m,21h 31m,3/10 16:51:00,5.67,,Kaltag
Rick Casillo,9,3/11 13:35:00 *,12,3/11 21:50:00,12,8h 15m,27h 1m,3/10 09:34:00,4.52,,Kaltag
Cody Strathe,2,3/11 14:14:00 *,12,3/11 23:00:00,11,8h 46m,22h 41m,3/10 14:33:00,5.38,,Kaltag
"Michael Williams, Jr.",27,3/11 20:18:00 *,11,3/12 01:54:00,10,5h 36m,24h 2m,3/10 19:16:00,5.08,,Kaltag
Larry Daugherty,14,3/11 18:20:00 *,14,3/12 02:45:00,14,8h 25m,25h 38m,3/10 15:42:00,4.76,,Kaltag
Charley Bejna,38,3/11 18:26:00 *,,3/12 02:49:00,13,8h 23m,21h 9m,3/10 20:17:00,5.77,,Kaltag
Jeff King,40,3/11 20:29:00 *,13,3/12 03:05:00,13,6h 36m,23h 36m,3/10 19:53:00,5.17,,Kaltag
Tom Knolmayer,43,3/11 15:56:00 *,13,3/12 04:18:00,12,12h 22m,22h 15m,3/10 16:41:00,5.48,,Kaltag
Jim Lanier,32,3/12 01:58:00,15,3/12 10:26:00,15,8h 28m,20h 9m,3/11 05:49:00,6.05,,Kaltag
Noah Pereira,49,3/12 10:31:00,10,3/12 10:46:00,10,0h 15m,26h 21m,3/11 08:10:00,4.63,,Kaltag
Emily Maxwell,58,3/12 02:53:00,13,3/12 11:20:00,10,8h 27m,22h 38m,3/11 04:15:00,5.39,,Kaltag
Aaron Peck,50,3/12 08:02:00,,3/12 15:06:00,12,7h 4m,26h 5m,3/11 05:57:00,4.68,,Kaltag
Kristy Berington,20,3/12 08:04:00,13,3/12 15:16:00,12,7h 12m,21h 44m,3/11 10:20:00,5.61,,Kaltag
Andy Pohl,12,3/12 08:05:00,11,3/12 15:16:00,11,7h 11m,21h 45m,3/11 10:20:00,5.61,,Kaltag
Andrew Nolan,56,3/12 08:52:00,12,3/12 15:18:00,12,6h 26m,22h 13m,3/11 10:39:00,5.49,,Kaltag
Bradley Farquhar,65,3/12 08:54:00,11,3/12 15:20:00,11,6h 26m,29h 14m,3/11 03:40:00,4.17,,Kaltag
Lev Shvarts,22,3/12 10:42:00,13,3/12 19:04:00,12,8h 22m,26h 34m,3/11 08:08:00,4.59,,Kaltag
Brett Bruggeman,37,3/12 11:40:00,15,3/12 19:59:00,15,8h 19m,24h 42m,3/11 10:58:00,4.94,,Kaltag
Monica Zappa,48,3/12 11:44:00,13,3/12 19:59:00,13,8h 15m,25h 56m,3/11 09:48:00,4.70,,Kaltag
Alan Eischens,53,3/12 12:32:00,14,3/12 21:22:00,14,8h 50m,21h 19m,3/11 15:13:00,5.72,,Kaltag
Scott Janssen,23,3/12 11:15:00,14,3/12 21:29:00,13,10h 14m,23h 57m,3/11 11:18:00,5.09,,Kaltag
Jeff Deeter,45,3/12 16:11:00,8,3/13 00:30:00,8,8h 19m,29h 13m,3/11 10:58:00,4.18,,Kaltag
Peter Fleck,67,3/12 15:33:00,13,3/13 00:37:00,12,9h 4m,27h 58m,3/11 11:35:00,4.36,,Kaltag
Shaynee Traska,5,3/12 15:55:00,12,3/13 01:03:00,11,9h 8m,26h 24m,3/11 13:31:00,4.62,,Kaltag
Dave Delcourt,57,3/12 15:42:00,12,3/13 01:14:00,11,9h 32m,27h 27m,3/11 12:15:00,4.44,,Kaltag
Misha Wiljes,19,3/12 18:07:00,,3/13 03:30:00,12,9h 23m,26h 21m,3/11 15:46:00,4.63,,Kaltag
Tim Muto,42,3/13 01:00:00,13,3/13 09:52:00,13,8h 52m,28h 18m,3/11 20:42:00,4.31,,Kaltag
Anja Radano,24,3/13 01:34:00,13,3/13 11:13:00,13,9h 39m,30h 48m,3/11 18:46:00,3.96,,Kaltag
Meredith Mapes,16,3/13 08:08:00,10,3/13 14:38:00,10,6h 30m,40h 55m,3/11 15:13:00,2.98,,Kaltag
Jason Stewart,66,3/13 08:04:00,,3/13 15:49:00,14,7h 45m,36h 18m,3/11 19:46:00,3.36,,Kaltag
Magnus Kaltenborn,6,3/13 07:56:00,14,3/13 15:54:00,14,7h 58m,34h 56m,3/11 21:00:00,3.49,,Kaltag
Marcelle Fressineau,35,3/13 11:55:00,12,3/13 19:34:00,12,7h 39m,34h 49m,3/12 01:06:00,3.50,,Kaltag
Steve Watkins,59,3/14 18:50:00,12,3/15 02:50:00,12,8h 0m,50h 40m,3/12 16:10:00,2.41,,Kaltag
Tara Cicatello,44,3/14 19:54:00,13,3/15 03:03:00,13,7h 9m,51h 45m,3/12 16:09:00,2.36,,Kaltag
Ryan Redington,7,3/11 14:50:00 *,11,,,,27h 0m,3/10 10:50:00,4.52,,Kaltag
Rob Cooke,10,3/13 01:48:00,13,,,,34h 4m,3/11 15:44:00,3.58,,Kaltag
Allen Moore,26,3/13 14:26:00,13,,,,30h 29m,3/12 07:57:00,4.00,,Kaltag
